Timestamp,Prize,Income (元),Payout (元),Net Income (元)
2024-12-25 01:14:36,再来一次,5,0,5
2024-12-25 01:14:37,再来一次,5,0,5
2024-12-25 01:14:39,未中奖,10,0,10
2024-12-25 01:14:43,三等奖 (10元),15,10,5
2024-12-25 01:14:58,未中奖,5,0,5
2024-12-25 01:16:23,未中奖,10,0,10
2024-12-25 01:16:36,四等奖 (2元),15,2,13
2024-12-25 01:16:41,四等奖 (2元),20,2,16
2024-12-25 01:16:52,未中奖,25,0,21
2024-12-25 01:16:54,未中奖,30,0,26
2024-12-25 01:16:56,四等奖 (2元),35,2,29
2024-12-25 01:16:58,四等奖 (2元),40,2,32
2024-12-25 01:17:01,未中奖,45,0,37
2024-12-25 01:17:40,四等奖 (2元),50,2,40
2024-12-25 01:17:42,四等奖 (2元),55,2,43
2024-12-25 01:17:55,未中奖,60,0,48
2024-12-25 07:44:35,四等奖 (2元),5,2,3
2024-12-25 07:44:40,四等奖 (2元),10,2,6
2024-12-25 07:44:43,再来一次,15,0,11
2024-12-25 07:44:44,四等奖 (2元),15,2,9
2024-12-25 07:44:46,四等奖 (2元),20,2,12
2024-12-25 07:44:47,未中奖,25,0,17
2024-12-25 07:44:49,未中奖,30,0,22
2024-12-25 07:44:50,未中奖,35,0,27
2024-12-25 07:44:51,再来一次,40,0,32
2024-12-25 07:44:51,再来一次,45,0,37
2024-12-25 07:44:52,三等奖 (10元),50,10,32
2024-12-25 07:44:53,四等奖 (2元),55,2,35
2024-12-25 07:44:54,未中奖,60,0,40
2024-12-25 07:44:55,四等奖 (2元),65,2,43
2024-12-25 07:44:56,未中奖,70,0,48
2024-12-25 07:44:57,二等奖 (20元),75,20,33
2024-12-25 07:48:55,四等奖 (2元),5,0,5
2024-12-25 07:48:59,三等奖 (10元),10,10,0
2024-12-25 07:49:03,未中奖,15,0,5
2024-12-25 07:49:06,未中奖,20,0,10
2024-12-25 07:50:17,四等奖 (2元),25,0,15
2024-12-25 07:50:18,未中奖,30,0,20
2024-12-25 07:50:18,未中奖,35,0,25
2024-12-25 07:50:21,四等奖 (2元),40,0,30
2024-12-25 07:50:26,再来一次,45,0,35
2024-12-25 07:50:27,未中奖,45,0,35
2024-12-25 07:52:29,未中奖,5,0,0,5
2024-12-25 07:52:31,再来一次,10,0,0,10
2024-12-25 07:52:32,未中奖,10,0,0,10
2024-12-25 07:52:35,未中奖,15,0,0,15
2024-12-25 07:52:38,未中奖,20,0,0,20
2024-12-25 07:52:41,未中奖,25,0,0,25
2024-12-25 07:52:44,未中奖,30,0,0,30
2024-12-25 07:52:49,四等奖 (2元),35,0,2,33
2024-12-25 07:52:54,未中奖,40,0,2,38
2024-12-25 07:52:56,四等奖 (2元),45,0,4,41
2024-12-25 07:53:03,未中奖,50,0,4,46
2024-12-25 07:53:05,未中奖,55,0,4,51
2024-12-25 07:53:08,三等奖 (10元),60,10,4,46
2024-12-25 07:53:11,二等奖 (20元),65,30,4,31
2024-12-25 07:53:15,未中奖,70,30,4,36
2024-12-25 07:53:17,再来一次,75,30,4,41
2024-12-25 07:53:18,未中奖,75,30,4,41
2024-12-25 07:53:20,四等奖 (2元),80,30,6,44
2024-12-25 07:53:23,再来一次,85,30,6,49
2024-12-25 07:53:24,未中奖,85,30,6,49
2024-12-25 07:53:27,未中奖,90,30,6,54
2024-12-25 07:53:29,三等奖 (10元),95,40,6,49
2024-12-25 07:53:45,未中奖,100,40,6,54
2024-12-25 07:53:47,四等奖 (2元),105,40,8,57
2024-12-25 07:53:48,未中奖,110,40,8,62
2024-12-25 07:53:51,四等奖 (2元),115,40,10,65
2024-12-25 07:53:53,四等奖 (2元),120,40,12,68
2024-12-25 07:53:56,再来一次,125,40,12,73
2024-12-25 07:53:57,未中奖,125,40,12,73
2024-12-25 07:54:01,二等奖 (20元),130,60,12,58
2024-12-25 07:54:03,未中奖,135,60,12,63
2024-12-25 07:54:09,四等奖 (2元),140,60,14,66
2024-12-25 07:54:11,未中奖,145,60,14,71
2024-12-25 07:54:12,再来一次,150,60,14,76
2024-12-25 07:54:13,未中奖,150,60,14,76
2024-12-25 07:54:15,未中奖,155,60,14,81
2024-12-25 07:54:18,未中奖,160,60,14,86
2024-12-25 07:54:21,三等奖 (10元),165,70,14,81
2024-12-25 07:54:25,二等奖 (20元),170,90,14,66
2024-12-25 07:54:28,四等奖 (2元),175,90,16,69
2024-12-25 07:58:01,未中奖,180,90,16,74
2024-12-25 07:58:03,未中奖,185,90,16,79
2024-12-25 07:58:06,未中奖,190,90,16,84
2024-12-25 07:58:08,二等奖 (20元),195,110,16,69
2024-12-25 07:58:14,二等奖 (20元),200,130,16,54
2024-12-25 07:59:33,再来一次,205,130,16,59
2024-12-25 07:59:34,未中奖,205,130,16,59
2024-12-25 07:59:36,未中奖,210,130,16,64
2024-12-25 07:59:38,未中奖,215,130,16,69
2024-12-25 07:59:42,三等奖 (10元),220,140,16,64
2024-12-25 07:59:43,未中奖,225,140,16,69
2024-12-25 07:59:44,再来一次,230,140,16,74
2024-12-25 07:59:45,三等奖 (10元),230,150,16,64
2024-12-25 07:59:57,未中奖,235,150,16,69
2024-12-25 08:00:00,未中奖,240,150,16,74
2024-12-25 08:00:02,未中奖,245,150,16,79
2024-12-25 08:00:04,四等奖 (2元),250,150,18,82
2024-12-25 08:00:05,未中奖,255,150,18,87
2024-12-25 08:00:08,未中奖,260,150,18,92
2024-12-25 08:00:15,二等奖 (20元),265,170,18,77
2024-12-25 08:01:29,再来一次,270,170,18,82
2024-12-25 08:01:30,未中奖,270,170,18,82
2024-12-25 08:01:32,再来一次,275,170,18,87
2024-12-25 08:01:33,四等奖 (2元),275,170,20,85
2024-12-25 08:04:30,未中奖,5,0,0,5
2024-12-25 08:06:03,三等奖 (10元),5,10,0,-5
2024-12-25 08:08:07,未中奖,5,0,0,5
2024-12-25 08:08:10,未中奖,10,0,0,10
2024-12-25 08:08:12,未中奖,15,0,0,15
2024-12-25 08:08:14,四等奖 (2元),20,2,2,18
2024-12-25 08:08:18,四等奖 (2元),25,2,2,21
2024-12-25 08:08:20,未中奖,30,0,0,26
2024-12-25 08:08:22,四等奖 (2元),35,2,2,29
2024-12-25 08:08:24,四等奖 (2元),40,2,2,32
2024-12-25 08:08:28,再来一次,45,0,0,37
2024-12-25 08:09:13,未中奖,5,0,0,5
2024-12-25 08:09:16,未中奖,10,0,0,10
2024-12-25 08:09:18,二等奖 (20元),15,20,0,-5
2024-12-25 08:09:21,未中奖,20,0,0,0
2024-12-25 08:09:23,四等奖 (2元),25,2,2,3
2024-12-25 08:09:24,未中奖,30,0,0,8
2024-12-25 08:09:25,再来一次,35,0,0,13
2024-12-25 08:11:21,未中奖,5,0,0,5
2024-12-25 08:11:24,未中奖,10,0,0,10
2024-12-25 08:11:26,三等奖 (10元),15,10,0,5
2024-12-25 08:11:28,未中奖,20,0,0,10
2024-12-25 08:11:30,未中奖,25,0,0,15
2024-12-25 08:11:31,未中奖,30,0,0,20
2024-12-25 08:11:32,未中奖,35,0,0,25
2024-12-25 08:11:33,三等奖 (10元),40,10,0,20
2024-12-25 08:11:36,未中奖,45,0,0,25
2024-12-25 08:11:38,再来一次,50,0,0,30
2024-12-25 08:11:49,四等奖 (2元),50,2,2,28
2024-12-25 08:11:52,未中奖,50,0,0,28
2024-12-25 08:11:54,四等奖 (2元),50,2,2,26
2024-12-25 08:11:56,二等奖 (20元),50,20,0,6
2024-12-25 08:11:59,未中奖,50,0,0,6
2024-12-25 08:12:02,未中奖,50,0,0,6
2024-12-25 08:15:15,再来一次,5,0,0,5
2024-12-25 08:15:22,未中奖,5,0,0,5
2024-12-25 08:15:31,未中奖,5,0,0,5
2024-12-25 08:15:35,三等奖 (10元),5,10,0,-5
2024-12-25 08:15:38,未中奖,5,0,0,-5
2024-12-25 08:15:40,四等奖 (2元),5,2,2,-7
2024-12-25 08:15:42,三等奖 (10元),5,10,0,-17
2024-12-25 08:15:43,未中奖,5,0,0,-17
2024-12-25 08:15:43,四等奖 (2元),5,2,2,-19
2024-12-25 08:15:44,四等奖 (2元),5,2,2,-21
2024-12-25 08:15:46,四等奖 (2元),5,2,2,-23
2024-12-25 08:15:47,未中奖,5,0,0,-23
2024-12-25 08:15:47,二等奖 (20元),5,20,0,-43
2024-12-25 08:28:19,未中奖,5,0,0,5
2024-12-25 08:28:21,未中奖,10,0,0,10
2024-12-25 08:28:23,四等奖 (2元),15,2,2,13
2024-12-25 08:28:26,未中奖,20,0,0,18
2024-12-25 08:28:27,未中奖,25,0,0,23
2024-12-25 08:28:31,未中奖,30,0,0,28
2024-12-25 08:28:33,四等奖 (2元),35,2,2,31
2024-12-25 08:28:34,未中奖,40,0,0,36
2024-12-25 08:28:35,未中奖,45,0,0,41
2024-12-25 08:28:37,未中奖,50,0,0,46
2024-12-25 08:28:38,三等奖 (10元),55,10,0,41
2024-12-25 08:28:41,未中奖,60,0,0,46
2024-12-25 08:28:42,二等奖 (20元),65,20,0,31
2024-12-25 08:28:43,未中奖,70,0,0,36
2024-12-25 08:28:44,四等奖 (2元),75,2,2,39
2024-12-25 08:28:45,未中奖,80,0,0,44
2024-12-25 08:28:46,再来一次,85,0,0,49
2024-12-25 08:29:01,未中奖,85,0,0,49
2024-12-25 08:30:50,二等奖 (20元),90,20,0,34
2024-12-25 08:30:52,未中奖,95,0,0,39
2024-12-25 08:30:54,未中奖,100,0,0,44
2024-12-25 08:30:55,再来一次,105,0,0,49
2024-12-25 08:31:00,未中奖,105,0,0,49
2024-12-25 08:31:01,四等奖 (2元),110,2,2,52
2024-12-25 08:31:03,未中奖,115,0,0,57
2024-12-25 08:31:04,再来一次,120,0,0,62
2024-12-25 08:31:07,四等奖 (2元),125,2,2,65
2024-12-25 08:31:09,未中奖,130,0,0,70
2024-12-25 08:31:10,再来一次,135,0,0,75
2024-12-25 08:33:58,四等奖 (2元),5,2,2,3
2024-12-25 08:34:02,未中奖,10,0,0,8
2024-12-25 08:34:03,四等奖 (2元),15,2,2,11
2024-12-25 08:34:05,二等奖 (20元),20,20,0,-4
2024-12-25 08:34:07,三等奖 (10元),25,10,0,-9
2024-12-25 08:34:08,未中奖,30,0,0,-4
2024-12-25 08:34:09,四等奖 (2元),35,2,2,-1
2024-12-25 08:34:10,未中奖,40,0,0,4
2024-12-25 08:34:12,未中奖,45,0,0,9
2024-12-25 08:34:13,四等奖 (2元),50,2,2,12
2024-12-25 08:34:14,未中奖,55,0,0,17
2024-12-25 08:34:15,三等奖 (10元),60,10,0,12
2024-12-25 08:34:16,未中奖,65,0,0,17
2024-12-25 08:34:17,三等奖 (10元),70,10,0,12
2024-12-25 08:34:18,再来一次,75,0,0,17
2024-12-25 08:34:26,未中奖,80,0,0,22
2024-12-25 08:36:17,二等奖 (20元),5,20,0,-15
2024-12-25 08:36:19,未中奖,10,0,0,-10
2024-12-25 08:36:20,未中奖,15,0,0,-5
2024-12-25 08:36:21,四等奖 (2元),20,2,2,-2
2024-12-25 08:36:22,四等奖 (2元),25,2,2,1
2024-12-25 08:36:23,再来一次,30,0,0,6
2024-12-25 08:36:25,未中奖,35,0,0,11
2024-12-25 08:36:26,三等奖 (10元),40,10,0,6
2024-12-25 08:36:27,未中奖,45,0,0,11
2024-12-25 08:36:28,未中奖,50,0,0,16
2024-12-25 08:40:24,四等奖 (2元),5,2,2,3
2024-12-25 08:40:28,未中奖,10,0,0,8
2024-12-25 08:40:29,未中奖,15,0,0,13
2024-12-25 08:40:30,未中奖,20,0,0,18
2024-12-25 08:40:31,未中奖,25,0,0,23
2024-12-25 08:40:32,四等奖 (2元),30,2,2,26
2024-12-25 08:40:33,再来一次,35,0,0,31
2024-12-25 08:40:36,再来一次,40,0,0,36
2024-12-25 08:40:38,未中奖,45,0,0,41
2024-12-25 08:40:39,再来一次,50,0,0,46
2024-12-25 08:40:40,四等奖 (2元),55,2,2,49
2024-12-25 08:40:42,未中奖,60,0,0,54
2024-12-25 08:40:43,未中奖,65,0,0,59
2024-12-25 08:40:44,未中奖,70,0,0,64
2024-12-25 08:40:45,未中奖,75,0,0,69
2024-12-25 08:40:46,二等奖 (20元),80,20,0,54
2024-12-25 08:40:47,未中奖,85,0,0,59
2024-12-25 08:40:48,未中奖,90,0,0,64
2024-12-25 08:40:49,四等奖 (2元),95,2,2,67
2024-12-25 08:40:50,未中奖,100,0,0,72
2024-12-25 08:40:51,四等奖 (2元),105,2,2,75
2024-12-25 08:40:51,未中奖,110,0,0,80
2024-12-25 08:40:52,未中奖,115,0,0,85
2024-12-25 08:41:01,未中奖,115,0,0,85
2024-12-25 08:41:10,未中奖,115,0,0,85
2024-12-25 08:41:16,四等奖 (2元),115,2,2,83
2024-12-25 08:41:17,三等奖 (10元),115,10,0,73
2024-12-25 08:41:18,再来一次,115,0,0,73
2024-12-25 08:43:57,再来一次,5,0,0,5
2024-12-25 08:44:01,未中奖,5,0,0,5
2024-12-25 08:44:04,未中奖,5,0,0,5
2024-12-25 08:44:07,未中奖,5,0,0,5
2024-12-25 08:44:08,再来一次,10,0,0,10
2024-12-25 08:44:09,二等奖 (20元),15,20,0,-5
2024-12-25 08:44:10,未中奖,20,0,0,0
2024-12-25 08:44:11,未中奖,25,0,0,5
2024-12-25 08:44:12,未中奖,30,0,0,10
2024-12-25 08:44:13,二等奖 (20元),35,20,0,-5
2024-12-25 08:44:14,未中奖,40,0,0,0
2024-12-25 08:44:14,未中奖,45,0,0,5
2024-12-25 08:44:15,未中奖,50,0,0,10
2024-12-25 08:44:16,未中奖,55,0,0,15
2024-12-25 08:44:17,四等奖 (2元),60,2,2,18
2024-12-25 08:44:18,四等奖 (2元),65,2,2,21
2024-12-25 08:44:18,未中奖,70,0,0,26
2024-12-25 08:44:19,三等奖 (10元),75,10,0,21
2024-12-25 08:44:20,未中奖,80,0,0,26
2024-12-25 08:44:21,未中奖,85,0,0,31
2024-12-25 08:44:22,未中奖,90,0,0,36
2024-12-25 08:44:22,未中奖,95,0,0,41
2024-12-25 08:45:35,二等奖 (20元),95,20,0,21
2024-12-25 08:45:37,再来一次,95,0,0,21
2024-12-25 08:45:39,未中奖,95,0,0,21
2024-12-25 08:45:45,四等奖 (2元),95,2,2,19
2024-12-25 08:47:42,未中奖,5,0,0,5
2024-12-25 08:47:44,再来一次,10,0,0,10
2024-12-25 08:47:46,四等奖 (2元),15,2,2,13
2024-12-25 08:47:47,四等奖 (2元),20,2,2,16
2024-12-25 08:47:48,三等奖 (10元),25,10,0,11
2024-12-25 08:47:49,未中奖,30,0,0,16
2024-12-25 08:47:50,再来一次,35,0,0,21
2024-12-25 08:47:51,未中奖,40,0,0,26
2024-12-25 08:47:54,四等奖 (2元),45,2,2,29
2024-12-25 08:47:55,未中奖,50,0,0,34
2024-12-25 08:47:57,未中奖,50,0,0,34
2024-12-25 08:47:59,未中奖,50,0,0,34
2024-12-25 08:48:01,未中奖,50,0,0,34
2024-12-25 08:48:03,四等奖 (2元),50,2,2,32
2024-12-25 08:48:06,二等奖 (20元),50,20,0,12
2024-12-25 08:48:08,未中奖,50,0,0,12
2024-12-25 08:48:11,未中奖,50,0,0,12
2024-12-25 08:48:13,未中奖,50,0,0,12
2024-12-25 09:14:38,再来一次,5,0,5
2024-12-25 09:14:40,再来一次,10,0,10
2024-12-25 09:14:40,四等奖 (2元),15,0,15
2024-12-25 09:14:41,未中奖,20,0,20
2024-12-25 09:14:41,未中奖,25,0,25
2024-12-25 09:14:41,未中奖,30,0,30
2024-12-25 09:14:41,三等奖 (10元),35,10,25
2024-12-25 09:14:41,再来一次,40,10,30
2024-12-25 09:14:42,未中奖,45,10,35
2024-12-25 09:14:42,未中奖,50,10,40
2024-12-25 09:14:42,四等奖 (2元),55,10,45
2024-12-25 09:14:42,未中奖,60,10,50
2024-12-25 09:21:24,未中奖,5,0,5
2024-12-25 09:21:26,未中奖,10,0,10
2024-12-25 09:21:28,未中奖,15,0,15
2024-12-25 09:21:29,三等奖 (10元),20,10,10
2024-12-25 09:21:31,三等奖 (10元),25,10,5
2024-12-25 09:21:32,未中奖,30,0,10
2024-12-25 09:21:33,三等奖 (10元),35,10,5
2024-12-25 09:21:34,四等奖 (2元),40,0,10
2024-12-25 09:21:35,未中奖,45,0,15
2024-12-25 09:21:36,四等奖 (2元),50,0,20
2024-12-25 09:21:38,未中奖,55,0,25
2024-12-25 09:21:41,未中奖,60,0,30
2024-12-25 09:21:44,二等奖 (20元),65,20,15
2024-12-25 09:21:46,再来一次,70,0,15
2024-12-25 09:21:47,未中奖,70,0,20
2024-12-25 09:21:49,未中奖,75,0,25
2024-12-25 09:21:50,未中奖,80,0,30
2024-12-25 09:21:51,未中奖,85,0,35
2024-12-25 09:21:52,三等奖 (10元),90,10,30
2024-12-25 09:21:52,四等奖 (2元),95,0,35
2024-12-25 09:21:54,四等奖 (2元),100,0,40
2024-12-25 09:21:54,未中奖,105,0,45
2024-12-25 09:21:56,四等奖 (2元),110,0,50
2024-12-25 09:21:57,未中奖,115,0,55
2024-12-25 09:21:58,未中奖,120,0,60
2024-12-25 09:21:59,未中奖,125,0,65
2024-12-25 09:22:01,二等奖 (20元),130,20,50
2024-12-25 09:22:03,四等奖 (2元),135,0,55
2024-12-25 09:22:04,未中奖,140,0,60
2024-12-25 09:22:05,四等奖 (2元),145,0,65
2024-12-25 09:22:07,未中奖,150,0,70
2024-12-25 09:22:08,四等奖 (2元),155,0,75
2024-12-25 09:22:09,四等奖 (2元),160,0,80
2024-12-25 09:22:10,未中奖,165,0,85
2024-12-25 09:22:11,未中奖,170,0,90
2024-12-25 09:22:12,四等奖 (2元),175,0,95
2024-12-25 09:22:13,未中奖,180,0,100
2024-12-25 09:22:14,未中奖,185,0,105
2024-12-25 09:22:15,未中奖,190,0,110
2024-12-25 09:22:16,二等奖 (20元),195,20,95
2024-12-25 09:22:17,未中奖,200,0,100
2024-12-25 09:22:18,未中奖,205,0,105
2024-12-25 09:22:19,再来一次,210,0,105
2024-12-25 09:22:20,三等奖 (10元),210,10,100
2024-12-25 09:22:21,未中奖,215,0,105
2024-12-25 09:22:22,未中奖,220,0,110
2024-12-25 09:22:23,未中奖,225,0,115
2024-12-25 09:22:24,未中奖,230,0,120
2024-12-25 09:22:25,未中奖,235,0,125
2024-12-25 09:24:53,再来一次,5,0,0
2024-12-25 09:24:54,再来一次,5,0,0
2024-12-25 09:24:57,未中奖,10,0,10
2024-12-25 09:24:58,未中奖,15,0,15
2024-12-25 09:24:59,未中奖,20,0,20
2024-12-25 09:24:59,未中奖,25,0,25
2024-12-25 09:25:00,三等奖 (10元),30,10,20
2024-12-25 09:25:01,四等奖 (2元),35,0,25
2024-12-25 09:25:02,再来一次,40,0,25
2024-12-25 09:25:03,四等奖 (2元),45,0,35
2024-12-25 09:25:04,未中奖,50,0,40
2024-12-25 09:25:05,未中奖,55,0,45
2024-12-25 09:25:06,未中奖,60,0,50
2024-12-25 09:25:07,未中奖,65,0,55
2024-12-25 09:25:12,未中奖,70,0,60
2024-12-25 09:25:15,二等奖 (20元),75,20,45
2024-12-25 09:25:21,未中奖,80,0,50
2024-12-25 09:25:22,未中奖,85,0,55
2024-12-25 09:25:23,未中奖,90,0,60
2024-12-25 09:25:25,未中奖,95,0,65
2024-12-25 09:25:26,再来一次,100,0,65
2024-12-25 09:25:27,未中奖,100,0,70
2024-12-25 09:25:34,未中奖,105,0,75
2024-12-25 09:25:35,未中奖,110,0,80
2024-12-25 09:25:37,未中奖,115,0,85
2024-12-25 09:25:39,三等奖 (10元),120,10,80
2024-12-25 09:27:58,三等奖 (10元),125,10,75
2024-12-25 09:27:59,四等奖 (2元),130,0,80
2024-12-25 09:28:01,未中奖,135,0,85
2024-12-25 09:28:03,二等奖 (20元),140,20,70
2024-12-25 09:28:10,二等奖 (20元),145,20,55
2024-12-25 09:28:11,再来一次,150,0,55
2024-12-25 09:28:12,未中奖,155,0,65
2024-12-25 09:28:13,未中奖,160,0,70
2024-12-25 09:28:15,四等奖 (2元),165,0,75
2024-12-25 09:28:16,未中奖,170,0,80
2024-12-25 09:28:17,未中奖,175,0,85
2024-12-25 09:28:18,四等奖 (2元),180,0,90
2024-12-25 09:28:20,未中奖,185,0,95
2024-12-25 09:28:21,未中奖,190,0,100
2024-12-25 09:28:21,未中奖,195,0,105
2024-12-25 09:28:22,未中奖,200,0,110
2024-12-25 09:28:23,再来一次,205,0,110
2024-12-25 09:28:24,四等奖 (2元),205,0,115
2024-12-25 09:28:26,未中奖,210,0,120
2024-12-25 09:29:13,二等奖 (20元),215,20,105
2024-12-25 09:29:15,未中奖,220,0,110
2024-12-25 09:29:17,未中奖,225,0,115
2024-12-25 09:29:19,未中奖,230,0,120
2024-12-25 09:29:48,二等奖 (20元),235,20,105
2024-12-25 09:29:51,未中奖,240,0,110
2024-12-25 09:29:53,未中奖,245,0,115
2024-12-25 09:30:38,未中奖,250,0,120
2024-12-25 09:30:41,未中奖,255,0,125
2024-12-25 09:30:44,未中奖,260,0,130
2024-12-25 09:30:45,四等奖 (2元),265,0,135
2024-12-25 09:30:47,三等奖 (10元),270,10,130
2024-12-25 09:30:49,未中奖,275,0,135
2024-12-25 09:30:52,未中奖,280,0,140
2024-12-25 09:30:53,未中奖,285,0,145
2024-12-25 09:30:55,未中奖,290,0,150
2024-12-25 09:30:56,未中奖,295,0,155
2024-12-25 09:30:58,二等奖 (20元),300,20,140
2024-12-25 09:31:00,未中奖,305,0,145
2024-12-25 09:34:00,未中奖,5,0,5
2024-12-25 09:35:16,再来一次,5,0,0
2024-12-25 09:39:34,未中奖,5,0,5
2024-12-25 09:39:36,未中奖,10,0,10
2024-12-25 09:39:39,未中奖,15,0,15
2024-12-25 09:39:40,四等奖 (2元),20,0,20
2024-12-25 09:39:42,再来一次,25,0,20
2024-12-25 09:39:43,未中奖,25,0,25
2024-12-25 09:39:44,四等奖 (2元),30,0,30
2024-12-25 09:39:46,四等奖 (2元),35,0,35
2024-12-25 09:39:47,再来一次,40,0,35
2024-12-25 09:39:48,未中奖,40,0,40
2024-12-25 09:39:50,未中奖,45,0,45
2024-12-25 09:39:51,未中奖,50,0,50
2024-12-25 09:39:52,未中奖,55,0,55
2024-12-25 09:39:55,未中奖,60,0,60
2024-12-25 09:39:57,二等奖 (20元),65,20,45
